"pid","ATE"
1,1.00135346847137
2,1.24903318483221
3,1.50073750822904
4,1.74975735819716
5,1.99744078162345
6,1.00237412140074
7,1.3314577379196
8,1.87493172732118
9,2.73614589321087
10,3.99756738394722
